,제 45 기          2013.01.01 부터 2013.12.31 까지,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,(단위 : 백만원),,,,,,
1, ,제 47 기 1분기,,제 46 기 1분기,,제 46 기,제 45 기
2,,3개월,누적,3개월,누적,,
3,당기순이익(손실),4625815,4625815,7574441,7574441,23394358,30474764
4,기타포괄손익,-819980,-819980,42371,42371,-1993414,-1006838
5,    후속적으로 당기손익으로 재분류되지 않는 포괄손익,-24103,-24103,-5026,-5026,-710318,-213113
6,        순확정급여부채 재측정요소,-24103,-24103,-5026,-5026,-710318,-213113
7,    후속적으로 당기손익으로 재분류되는 포괄손익,-795877,-795877,47397,47397,-1283096,-793725
8,        매도가능금융자산평가손익,264851,264851,-49858,-49858,-232105,186480
9,        관계기업 및 공동기업의 기타포괄손익에 대한 지분,-44052,-44052,-26025,-26025,-128932,20756
10,        해외사업장환산외환차이,-1016676,-1016676,123280,123280,-922059,-1000961
11,총포괄손익,3805835,3805835,7616812,7616812,21400944,29467926
12,포괄손익의 귀속, , , , , , 
13,    지배기업 소유주지분,3685109,3685109,7508468,7508468,20990732,28837590
14,    비지배지분,120726,120726,108344,108344,410212,630336
