,제 44 기          2012.01.01 부터 2012.12.31 까지,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,(단위 : 백만원),,,,,,
1, ,제 46 기 1분기,,제 45 기 1분기,,제 45 기,제 44 기
2,,3개월,누적,3개월,누적,,
3,당기순이익(손실),7574441,7574441,7154941,7154941,30474764,23845285
4,기타포괄손익,42371,42371,1225878,1225878,-1006838,-1717080
5,    후속적으로 당기손익으로 재분류되지 않는 포괄손익,-5026,-5026,-8598,-8598,-213113,-504120
6,        순확정급여부채 재측정요소,-5026,-5026,-8598,-8598,-213113,-504120
7,    후속적으로 당기손익으로 재분류되는 포괄손익,47397,47397,1234476,1234476,-793725,-1212960
8,        매도가능금융자산평가손익,-49858,-49858,264768,264768,186480,962184
9,        관계기업 및 공동기업의 기타포괄손익에 대한 지분,-26025,-26025,15373,15373,20756,-350491
10,        해외사업장환산외환차이,123280,123280,954335,954335,-1000961,-1824653
11,총포괄손익,7616812,7616812,8380819,8380819,29467926,22128205
12,포괄손익의 귀속, , , , , , 
13,    지배기업 소유주지분,7508468,7508468,8166237,8166237,28837590,21499343
14,    비지배지분,108344,108344,214582,214582,630336,628862
