,제 43 기          2011.01.01 부터 2011.12.31 까지,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,(단위 : 백만원),,,,,,
1, ,제 45 기 3분기,,제 44 기 3분기,,제 44 기,제 43 기
2,,3개월,누적,3개월,누적,,
3,당기순이익(손실),8244736,23173488,6564927,16806808,23845285,13759043
4,기타포괄손익,-2103311,692901,-132474,-200024,-1717080,-887485
5,    후속적으로 당기손익으로 재분류되지 않는 포괄손익,-786,-17777,2379,-70832,-504120,-385214
6,        순확정급여부채 재측정요소,-786,-17777,2379,-70832,-504120,-385214
7,    후속적으로 당기손익으로 재분류되는 포괄손익,-2102525,710678,-134853,-129192,-1212960,-502271
8,        매도가능금융자산평가손익,200941,1039847,226689,876987,962184,-572028
9,        관계기업 및 공동기업의 기타포괄손익에 대한 지분,-10392,-9003,9091,-209043,-350491,-113898
10,        해외사업장환산외환차이,-2293074,-320166,-370633,-797136,-1824653,183655
11,총포괄손익,6141425,23866389,6432453,16606784,22128205,12871558
12,포괄손익의 귀속, , , , , , 
13,    지배기업 소유주지분,6023479,23293031,6290504,16143726,21499343,12439116
14,    비지배지분,117946,573358,141949,463058,628862,432442
