,(단위 : 백만원),Unnamed: 1,Unnamed: 2,Unnamed: 3
0, ,제 44 기,제 43 기,제 42 기
1,당기순이익(손실),23845285,13759043,16182356
2,기타포괄손익,-1717080,-887485,906465
3,    후속적으로 당기손익으로 재분류되지 않는 포괄손익,-504120,-385214,-235019
4,        종업원급여 재측정요소,-504120,-385214,-235019
5,    후속적으로 당기손익으로 재분류되는 포괄손익,-1212960,-502271,1141484
6,        매도가능금융자산평가손익,962184,-572028,932384
7,        관계회사 및 조인트벤처 투자 평가,-350491,-113898,387457
8,        해외사업환산손익,-1824653,183655,-178357
9,총포괄손익,22128205,12871558,17088821
10,포괄손익의 귀속, , , 
11,    지배기업 소유주지분,21499343,12439116,16720164
12,    비지배지분,628862,432442,368657
